time (s),net1 (V),net2 (V),net3 (V),net4 (V),net5 (V),net6 (V),net7 (V),net8 (V),net9 (V),net10 (V),net11 (V)
0.000,306.3E-6,16.80E-9,5.000,16.80E-9,16.80E-9,5.000,5.000,16.80E-9,5.000,16.80E-9,5.000
1.000E-12,36.53E-3,2.163E-3,5.000,9.661E-6,676.6E-9,5.000,5.000,32.99E-6,5.000,590.9E-6,5.004
1.973E-12,72.32E-3,4.238E-3,5.000,18.81E-6,1.345E-6,5.000,5.001,65.90E-6,5.000,1.163E-3,5.009
2.973E-12,109.4E-3,6.353E-3,5.000,27.80E-6,1.989E-6,5.000,5.001,98.57E-6,5.000,1.741E-3,5.013
3.973E-12,146.6E-3,8.411E-3,5.000,35.90E-6,2.541E-6,5.000,5.001,128.6E-6,5.000,2.292E-3,5.017
4.973E-12,184.0E-3,10.41E-3,5.000,43.15E-6,3.008E-6,5.000,5.001,156.2E-6,5.000,2.819E-3,5.022
5.973E-12,221.5E-3,12.36E-3,5.000,49.60E-6,3.397E-6,5.000,5.002,181.4E-6,5.000,3.321E-3,5.026
6.973E-12,259.1E-3,14.25E-3,5.000,55.30E-6,3.714E-6,5.000,5.002,204.4E-6,5.000,3.799E-3,5.030
7.973E-12,296.8E-3,16.08E-3,5.000,60.30E-6,3.965E-6,5.000,5.002,225.2E-6,5.000,4.253E-3,5.034
8.973E-12,334.6E-3,17.86E-3,5.001,64.64E-6,4.156E-6,5.000,5.002,243.9E-6,5.000,4.685E-3,5.038
9.973E-12,372.4E-3,19.59E-3,5.001,68.36E-6,4.291E-6,5.000,5.002,260.7E-6,5.000,5.095E-3,5.042
10.97E-12,410.3E-3,21.27E-3,5.001,71.50E-6,4.377E-6,5.000,5.003,275.7E-6,5.000,5.484E-3,5.046
11.97E-12,448.3E-3,22.89E-3,5.001,74.10E-6,4.418E-6,5.000,5.003,288.9E-6,5.000,5.853E-3,5.050
12.97E-12,486.3E-3,24.46E-3,5.001,76.20E-6,4.417E-6,5.000,5.003,300.5E-6,5.000,6.202E-3,5.054
13.97E-12,524.3E-3,25.99E-3,5.001,77.84E-6,4.380E-6,5.000,5.003,310.5E-6,5.000,6.532E-3,5.058
14.97E-12,562.3E-3,27.47E-3,5.001,79.04E-6,4.311E-6,5.000,5.003,319.1E-6,5.000,6.845E-3,5.062
15.97E-12,600.4E-3,28.90E-3,5.001,79.84E-6,4.212E-6,5.000,5.003,326.3E-6,5.000,7.139E-3,5.065
16.97E-12,638.4E-3,30.29E-3,5.001,80.28E-6,4.088E-6,5.000,5.004,332.2E-6,5.000,7.417E-3,5.069
17.97E-12,676.5E-3,31.63E-3,5.001,80.39E-6,3.941E-6,5.000,5.004,336.9E-6,5.000,7.680E-3,5.073
18.97E-12,714.5E-3,32.92E-3,5.001,80.20E-6,3.774E-6,5.000,5.004,340.4E-6,5.000,7.927E-3,5.076
19.97E-12,752.5E-3,34.17E-3,5.001,79.76E-6,3.589E-6,5.000,5.004,342.8E-6,5.000,8.162E-3,5.080
20.97E-12,790.3E-3,35.37E-3,5.001,79.14E-6,3.390E-6,5.000,5.004,344.0E-6,5.000,8.388E-3,5.083
21.97E-12,827.8E-3,36.52E-3,5.001,78.45E-6,3.177E-6,5.000,5.004,344.0E-6,5.000,8.611E-3,5.087
22.97E-12,864.8E-3,37.59E-3,5.001,77.81E-6,2.950E-6,5.000,5.004,342.8E-6,5.000,8.837E-3,5.090
23.97E-12,901.1E-3,38.59E-3,5.001,77.30E-6,2.711E-6,5.000,5.004,340.1E-6,5.000,9.071E-3,5.094
24.97E-12,936.8E-3,39.52E-3,5.001,76.81E-6,2.462E-6,5.000,5.004,336.1E-6,5.000,9.307E-3,5.098
25.97E-12,972.0E-3,40.39E-3,5.001,76.15E-6,2.203E-6,5.000,5.004,331.1E-6,5.000,9.534E-3,5.101
26.97E-12,1.007,41.21E-3,5.001,75.12E-6,1.936E-6,5.000,5.004,325.4E-6,5.000,9.740E-3,5.105
27.97E-12,1.042,41.99E-3,5.001,73.60E-6,1.664E-6,5.000,5.004,319.2E-6,5.000,9.917E-3,5.109
28.97E-12,1.076,42.74E-3,5.001,71.53E-6,1.387E-6,5.000,5.005,312.5E-6,5.000,10.06E-3,5.112
29.97E-12,1.110,43.46E-3,5.001,68.89E-6,1.106E-6,5.000,5.005,305.4E-6,5.000,10.16E-3,5.115
30.97E-12,1.145,44.14E-3,5.001,65.67E-6,824.0E-9,5.000,5.005,298.1E-6,5.000,10.23E-3,5.118
31.97E-12,1.179,44.80E-3,5.001,61.91E-6,540.7E-9,5.000,5.005,290.4E-6,5.000,10.26E-3,5.120
32.97E-12,1.213,45.44E-3,5.001,57.62E-6,257.8E-9,5.000,5.005,282.5E-6,5.000,10.25E-3,5.123
33.97E-12,1.247,46.04E-3,5.001,52.85E-6,-24.49E-9,5.000,5.005,274.5E-6,5.000,10.20E-3,5.125
